Last login: Tue Apr 28 18:21:57 on ttys000
D-69-91-151-59:~ DarcyElizabeth$ cd Desktop/
D-69-91-151-59:Desktop DarcyElizabeth$ ls
PTMSC_Project	canada		map		soupenv
D-69-91-151-59:Desktop DarcyElizabeth$ source map/bin/activate
(map)D-69-91-151-59:Desktop DarcyElizabeth$ cd soupenv/
(map)D-69-91-151-59:soupenv DarcyElizabeth$ ls
AIS_Page.html		local			shiptracker
bin			map			shiptracker_B.py
datetime		mashup.py		test.py
include			my_map.json
lib			pip-selfcheck.json
(map)D-69-91-151-59:soupenv DarcyElizabeth$ python test.py 
1: Date/time, 2:Position, 3: Naut miles run, 4:Avg speed
1: 2015-Apr-21 00:28, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-20 23:31, 2:N 47°60' W 122°13', 3: 3, 4: 2.7
1: 2015-Apr-20 22:33, 2:N 47°58' W 122°16', 3: 4, 4: 3.9
1: 2015-Apr-20 21:33, 2:N 47°55' W 122°20', 3: 3, 4: 2.7
1: 2015-Apr-20 20:33, 2:N 47°53' W 122°22', 3: 4, 4: 4.1
1: 2015-Apr-20 19:33, 2:N 47°50' W 122°26', 3: 4, 4: 3.5
1: 2015-Apr-20 18:33, 2:N 47°46' W 122°26', 3: 4, 4: 4.0
1: 2015-Apr-20 17:33, 2:N 47°42' W 122°27', 3: 2, 4: 1.9
1: 2015-Apr-20 16:33, 2:N 47°41' W 122°25', 3: 4, 4: 4.2
1: 2015-Apr-20 15:32, 2:N 47°39' W 122°20', 3:  , 4: 
1: 






, 2:






, 3: Track history (hours):
             







, 4: 
Traceback (most recent call last):
  File "test.py", line 11, in <module>
    print ("1: %s, 2:%s, 3: %s, 4:%s" %(tds[0].text, tds[1].text, tds[2].text, tds[3].text))
IndexError: list index out of range
(map)D-69-91-151-59:soupenv DarcyElizabeth$ 
